Run Number,Best Fitness Achieved,Turn 1Turn 2Turn 3Turn 4Turn 5Turn 6Turn 7Turn 8Turn 9Turn 10Turn 11Turn 12Turn 13Turn 14Turn 15Turn 16Turn 17Turn 18Turn 19Turn 20Turn 21Turn 22Turn 23Turn 24Turn 25Turn 26Turn 27Turn 28Turn 29Turn 30Turn 31Turn 32Turn 33Turn 34Turn 35Turn 36Turn 37Turn 38Turn 39Turn 40Turn 41Turn 42Turn 43Turn 44Turn 45Turn 46Turn 47Turn 48Turn 49Turn 50Turn 51Turn 52Turn 53Turn 54Turn 55Turn 56Turn 57Turn 58Turn 59Turn 60Turn 61Turn 62Turn 63Turn 64Turn 65Turn 66Turn 67Turn 68Turn 69Turn 70Turn 71Turn 72Turn 73Turn 74Turn 75Turn 76Turn 77Turn 78Turn 79Turn 80Turn 81Turn 82Turn 83Turn 84Turn 85Turn 86Turn 87Turn 88Turn 89Turn 90Turn 91Turn 92Turn 93Turn 94Turn 95Turn 96Turn 97Turn 98Turn 99Turn 100
10,412,2,1,0,0,1,2,0,1,1,2,2,0,0,1,2,1,0,2,1,0,1,0,1,1,1,0,1,2,1,2,0,1,0,2,2,2,0,1,1,0,2,0,1,2,1,0,2,0,2,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,2,2,0,1,0,2,2,2,1,1,2,0,0,2,2,2,1,1,0,1,1,2,0,2,2,2,2,2,2,1,1,
11,420,1,0,2,2,0,0,1,1,1,2,0,1,1,1,0,0,0,1,2,0,0,0,1,0,0,1,1,1,1,1,2,0,0,1,0,0,1,0,2,1,0,0,1,1,1,1,0,0,1,0,1,2,2,2,2,1,1,2,0,1,2,0,1,2,2,1,1,1,2,1,0,0,2,2,0,1,2,2,2,1,0,2,1,2,2,0,0,1,2,1,2,2,2,2,0,2,2,2,1,2,
12,416,1,1,0,1,0,2,0,2,0,1,1,2,0,0,0,2,1,0,1,1,0,0,0,2,1,1,1,2,2,0,0,2,0,0,1,0,0,2,0,1,1,0,0,0,1,1,1,0,0,0,2,0,0,1,0,1,1,1,1,2,1,2,2,2,1,0,1,2,1,2,1,2,1,2,0,2,2,0,2,0,0,0,2,0,2,0,2,2,0,2,0,1,2,0,2,1,2,2,1,1,
13,407,1,0,2,0,0,1,2,1,2,1,1,0,1,0,2,2,0,1,1,2,0,1,1,0,1,0,0,0,1,1,0,2,1,1,0,0,0,1,0,2,2,0,0,1,2,2,0,2,2,2,1,2,0,2,2,0,1,2,0,0,0,1,2,1,1,0,0,1,1,2,0,1,1,0,0,1,1,0,0,2,1,1,0,2,2,0,2,2,0,2,2,2,0,2,0,0,2,2,1,1,
14,415,1,2,0,0,0,2,1,2,0,2,1,0,1,1,0,2,1,1,1,0,1,0,1,0,2,2,1,0,2,1,0,1,0,1,0,1,1,1,0,0,1,2,2,0,1,2,1,1,0,2,2,2,1,1,2,1,1,1,1,0,0,1,1,1,1,1,2,1,0,1,2,2,0,2,1,2,1,1,0,1,1,1,2,1,2,0,1,2,2,0,0,2,2,0,2,2,1,0,0,2,
15,419,0,1,2,1,0,1,2,2,0,1,1,0,0,2,0,2,0,1,2,2,2,0,2,1,2,0,0,0,2,2,1,1,2,0,1,0,2,2,1,2,2,0,1,1,0,2,2,0,2,2,2,0,2,2,0,2,0,2,0,2,2,2,1,2,2,2,2,1,1,1,0,2,1,2,1,1,1,2,2,1,2,2,2,1,1,1,0,0,0,1,0,2,1,1,0,1,0,1,0,2,
16,414,1,0,0,2,2,0,2,2,1,0,2,0,2,0,2,0,2,2,0,2,0,0,1,2,0,0,2,2,0,2,1,2,1,2,0,0,2,2,1,0,2,0,1,2,1,0,2,2,2,1,0,0,2,0,1,0,1,0,0,1,0,0,2,1,1,0,1,1,1,0,1,0,2,0,1,0,2,0,0,0,1,1,1,2,1,1,2,0,1,1,1,0,1,1,1,0,0,1,2,0,
17,412,1,0,2,2,0,1,2,2,0,1,0,2,2,1,2,0,1,2,2,1,0,1,2,0,2,1,2,2,1,2,0,2,1,2,1,1,0,0,2,1,1,0,0,0,2,1,1,2,1,2,2,0,2,2,2,1,2,2,1,2,2,0,2,1,2,2,2,0,0,1,2,2,0,2,2,2,2,2,1,0,0,1,2,1,0,1,2,1,2,2,1,1,0,2,2,1,1,2,0,0,
18,415,2,1,0,1,0,2,2,1,2,0,0,0,2,0,2,2,0,2,1,1,1,1,2,2,0,2,2,0,2,2,0,2,2,0,0,1,1,2,2,1,0,1,2,1,1,2,1,2,2,2,0,0,2,0,2,1,2,1,2,1,1,2,1,1,2,2,0,2,0,1,1,0,1,0,1,0,0,1,1,0,0,2,0,1,2,0,2,1,0,1,2,0,2,2,0,0,0,0,1,1,
19,405,2,1,2,1,1,0,0,2,1,2,0,0,2,2,1,2,1,0,1,2,0,1,1,0,2,1,1,0,1,2,0,2,2,2,1,2,2,0,1,1,1,1,2,2,0,1,2,2,1,1,1,1,0,1,0,2,2,2,2,1,1,2,2,1,2,0,0,1,2,2,1,1,2,0,1,1,2,0,0,0,0,0,2,0,2,0,2,2,0,1,2,0,2,1,0,1,1,1,1,1,
20,418,1,1,2,2,0,0,0,2,0,2,2,1,0,1,2,1,0,1,1,0,2,0,0,1,0,2,0,1,2,0,2,0,2,0,2,2,1,1,0,0,2,0,2,0,2,2,0,0,1,0,2,0,1,0,0,0,0,2,1,0,0,2,2,1,0,0,1,0,2,1,0,0,1,0,1,0,0,1,0,1,2,1,2,1,0,2,0,2,1,2,1,2,2,1,1,1,2,2,1,2,
21,414,2,1,0,0,2,1,2,2,2,1,1,0,1,2,1,1,2,0,2,2,2,1,2,1,1,1,0,1,1,1,2,2,0,2,2,2,0,0,0,1,2,0,1,2,1,2,2,2,2,1,0,2,2,2,2,2,0,1,2,2,2,0,0,1,2,2,2,2,0,0,2,1,1,1,0,1,2,0,2,0,0,1,2,0,0,2,0,0,1,0,0,2,0,0,0,1,0,0,2,0,
22,418,1,0,2,2,1,0,1,2,1,2,0,0,0,1,0,0,2,0,1,1,1,2,1,0,0,1,1,1,1,2,0,2,2,0,0,0,1,2,0,0,0,1,2,0,1,2,0,2,2,1,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,1,2,0,2,2,0,1,1,0,2,2,2,1,2,1,1,1,0,2,2,2,2,2,2,1,0,2,
23,416,0,2,1,2,1,0,2,2,0,1,2,1,1,1,2,0,1,1,1,2,1,2,0,1,1,2,2,2,0,2,1,0,0,0,0,1,1,1,0,1,0,1,2,2,0,0,1,1,2,0,1,1,2,2,1,0,2,0,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,0,0,0,1,2,0,1,2,1,0,2,0,1,1,0,2,0,1,2,0,0,0,0,0,2,0,0,
24,411,1,0,1,2,2,0,0,0,1,0,2,1,0,0,2,2,2,0,1,2,1,1,0,1,0,1,0,2,1,0,2,0,2,1,2,2,0,0,0,1,0,2,1,2,0,1,0,0,1,0,0,0,2,0,0,2,0,0,2,0,1,0,1,0,1,1,0,0,1,1,0,2,1,2,0,0,0,0,2,2,2,2,0,1,2,2,1,2,1,0,1,0,0,1,1,0,1,1,2,2,
25,415,0,0,1,2,2,1,0,2,1,1,2,0,1,2,1,0,2,2,0,1,2,2,0,2,2,0,2,2,1,0,0,2,0,0,0,0,0,2,2,2,1,1,2,0,1,2,0,0,2,2,2,2,2,1,2,1,2,2,0,1,2,2,0,0,1,2,2,0,0,2,2,2,1,1,1,2,1,2,1,0,2,1,2,0,1,1,1,1,0,2,1,0,1,0,1,2,1,0,2,1,
26,413,1,0,2,0,1,0,1,2,1,2,2,0,1,2,1,0,1,1,2,0,0,1,1,0,0,1,2,0,1,0,0,0,0,0,1,0,0,2,0,0,2,2,1,2,0,0,2,1,2,2,1,1,0,0,2,0,2,2,2,0,0,1,2,2,0,0,0,1,0,1,0,0,1,0,1,0,2,0,2,0,1,2,0,2,2,1,1,1,1,0,2,2,0,1,1,1,0,2,2,2,
27,411,2,0,1,0,1,2,0,2,2,0,2,0,1,2,2,1,2,1,2,1,0,0,0,1,1,1,1,0,1,1,1,2,0,0,1,0,2,1,1,1,1,1,2,1,1,1,2,1,0,1,2,0,0,0,2,2,1,0,1,1,1,2,1,2,1,0,1,0,0,1,1,0,2,1,1,0,2,0,1,0,1,2,2,2,1,1,0,1,2,2,2,2,2,2,2,0,1,0,1,1,
28,413,0,2,0,2,1,1,0,0,2,2,1,0,2,2,2,1,2,0,2,1,2,1,1,0,2,1,1,2,1,1,1,2,0,0,1,0,1,2,2,2,1,0,2,2,0,1,1,1,1,2,2,1,1,1,2,1,2,2,2,2,2,2,1,2,0,0,2,2,0,2,2,2,0,0,2,1,2,0,0,2,0,0,0,0,2,0,0,0,2,2,1,1,0,2,2,2,2,1,0,0,
29,409,1,0,2,2,0,1,1,2,2,1,1,2,0,1,0,2,2,1,1,2,2,2,0,1,1,0,2,2,2,2,1,0,2,1,0,2,1,2,0,0,0,0,2,1,0,1,2,2,0,1,2,1,1,2,2,0,1,1,1,0,1,1,2,1,1,1,2,2,1,1,2,1,1,1,0,2,2,0,2,0,0,1,0,0,2,0,0,0,1,2,1,1,2,0,2,0,1,0,0,2,
